Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
10278,630,185,1993,35.83533,0,1,0
1620,199,65,1992,282.749517,0,1,0
1847,360,95,1945,75.921652,0,1,0
1226,87,48,1997,297.804085,0,1,0
1160,104,61,2005,60.262893,0,1,0
36498,1600,412,1903,26.365625,0,1,0
1780,109,70,2008,192.140867,0,1,0
2192,600,45,1964,27.114422,0,1,0
1006,144,80,2000,218.023651,0,1,0
2113,155,90,2005,195.256135,0,0,0
1036,250,36,1972,112.62698,0,1,0
1560,130,73,2009,1.140701,0,0,0
1282,135,72,2010,206.321199,0,1,0
1500,123,48,1989,84.284909,0,1,0
2208,246,63,1976,103.701791,0,1,0
1528,148,58,2009,33.969678,0,0,0
4400,360,140,1999,80.40204,0,1,0
3828,200,92,1998,107.871439,1,1,0
1040,392,133,1985,69.414699,0,1,0
1751,129,76,2010,205.202424,0,1,0
1750,126,53,2002,151.574133,0,1,0
1047,128,74,2000,224.851427,0,1,0
3220,143,115,2011,29.924992,0,0,0
3337,290,85,1971,72.060548,0,1,0
1320,220,36,1999,26.45637,0,1,0
3273,240,109,1999,130.721181,0,1,0
8444,260,179,2011,103.376472,0,1,0
2108,145,98,2008,19.660898,0,0,0
1560,173,49,2007,333.281171,0,1,0
1328,142,90,1972,212.928767,0,1,0
1572,141,94,2003,188.960389,0,0,0
1970,139,68,1992,184.422412,0,1,0
14200,870,167,1989,12.358601,1,0,0
1800,114,73,2009,300.402943,0,1,0
1068,239,99,1983,87.111073,0,1,0
1506,75,42,1994,399.87672,0,1,0
10662,420,235,2000,51.390895,0,1,0
1056,156,45,1959,135.594473,0,1,0
2494,120,50,1994,276.937021,0,1,0
1468,137,68,1991,184.422412,0,1,0
4205,218,70,1970,58.488757,0,1,0
1530,160,66,1982,152.849122,0,1,0
2744,176,65,1981,150.666388,1,1,0
1814,171,43,1970,141.450948,0,1,0
3323,170,111,2008,189.504532,0,1,0
1333,115,58,2006,169.802839,0,1,0
